	Description	Secretion	SignalP	RNA binding domain	Diff exp	S4TE;promotor_motif	S4TE;homology	S4TE;Eukaryotic_domains	S4TE;Prokaryotic_domains	S4TE;Nuclear_localization_signal	S4TE;Prenylation	S4TE;Coiled_coils	S4TE;C_basicity	S4TE;C_charge	S4TE;C_hidrofilnost	S4TE;hidrofilnost	S4TE;E-block	S4TE Score	CatRapid mean	CatRapid max	CatRapid max (STAR, all)	CatRapid mean (STAR, all)	CatRapid max (Z-score, all)	CatRapid mean (Z-score, all)	CatRapid count Z-score > 2 (all)
CP003496.1_prot_D7S_00606_553	serine hydroxymethyltransferase	0.0	0.133	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.27017824432858956	4.11	0.1	0.04326719451442427	6.15	0.24368202223779667	21635
CP003496.1_prot_D7S_00607_554	serine hydroxymethyltransferase	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.22145061293504298	3.61	0.67	0.3842073759778759	3.89	-0.25357983065936773	4617
CP003496.1_prot_D7S_00608_555	lipoprotein	0.0	0.553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.22926729604058052	3.97	0.13	0.06433779099501831	6.36	0.2073415036084329	19190
CP003496.1_prot_D7S_00611_558	ribosomal RNA small subunit methyltransferase C	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	-0.006123714245455827	3.63	0.15	0.06984372928229123	4.65	-0.03135131551531453	10772
CP003496.1_prot_D7S_00612_559	DNA polymerase III subunit psi	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.268972100887699	4.85	0.09	0.03889076203284527	7.05	0.24938817646278863	22037
CP003496.1_prot_D7S_00614_560	ribosomal-protein-alanine N-acetyltransferase	0.0	0.109	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	6.0	0.29862970269127803	4.51	0.1	0.04372123198151271	6.45	0.27146146269391774	23326
CP003496.1_prot_D7S_00616_562	Putative type II secretory pathway, pseudopilin	0.0	0.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.31737283359165847	3.91	0.08	0.035292557725456024	5.67	0.2790678688462486	24087
CP003496.1_prot_D7S_00617_563	hypothetical protein	0.0	0.272	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	-0.014713259123573344	3.66	0.1	0.04576165400716005	6.25	-0.031051181027787773	9675
CP003496.1_prot_D7S_00618_564	hypothetical protein	0.0	0.163	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	-0.17967169226433705	2.75	0.11	0.05526376602958726	4.5	-0.19294196200253821	6313
CP003496.1_prot_D7S_00619_565	type II secretory pathway, pseudopilin	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.16327955474144004	3.61	0.09	0.0407333358589207	5.18	0.13470223325062033	15672
CP003496.1_prot_D7S_00623_566	peptidoglycan-associated lipoprotein	1.0	0.663	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.19734958433140765	4.21	0.67	0.5715735987725646	6.56	0.18180753130149832	17706
CP003496.1_prot_D7S_00624_567	Tol-Pal system beta propeller repeat protein TolB	1.0	0.387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	-0.539533605748908	2.52	0.66	0.28348796241926016	4.52	-0.5285546379254826	1994
CP003496.1_prot_D7S_00625_568	cell envelope integrity inner membrane protein TolA	0.0	0.147	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	-0.2234444131323094	4.1	1.42	0.8781632034550035	7.45	-0.22026594434868263	6915
CP003496.1_prot_D7S_00626_569	biopolymer transport protein	0.0	0.134	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.4298316189939411	5.68	0.09	0.038792264125925784	7.81	0.39793618472145925	30579
CP003496.1_prot_D7S_00627_570	protein TolQ	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0975102155840496	4.81	0.13	0.05879008580683047	7.23	0.08302871592824806	14809
CP003496.1_prot_D7S_00628_571	tol-pal system-associated acyl-CoA thioesterase	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.4734676623925602	5.21	0.15	0.06873392305798119	7.43	0.4401056011213608	32105
CP003496.1_prot_D7S_00629_572	cytochrome D ubiquinol oxidase subunit II	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.17876990277582078	3.95	0.07	0.028333491182543143	7.38	0.16445523080711455	21623
CP003496.1_prot_D7S_00630_573	cytochrome D ubiquinol oxidase subunit 1	0.0	0.116	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.42817105819360285	7.14	0.18	0.09261152046672858	7.14	0.35359403708825043	30335
CP003496.1_prot_D7S_00631_574	holliday junction DNA helicase B	0.0	0.758	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.49134493447935745	4.95	0.63	0.5655738450173319	6.7	0.44112666451991744	32732
CP003496.1_prot_D7S_00632_575	Holliday junction DNA helicase RuvB	0.0	0.089	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.7231252641961393	5.23	1.5	0.9244504953308207	7.65	0.6544691531074195	41331
CP003496.1_prot_D7S_00633_576	holliday junction DNA helicase RuvA	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.011462589826687335	3.38	0.12	0.055416532494838355	5.34	-0.028449320932699414	10257
CP003496.1_prot_D7S_00634_577	Holliday junction resolvase	0.0	0.108	1.0	-3.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	-0.027725799633648022	3.68	2.0	1.4618467410452145	5.82	-0.03397117042032088	7515
CP003496.1_prot_D7S_00635_578	excinuclease ABC subunit A	0.0	0.612	0.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.5007059320839792	5.44	0.25	0.11321983975148223	7.51	0.46759267327107756	33522
CP003496.1_prot_D7S_00636_579	dATP pyrophosphohydrolase	0.0	0.105	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.4309053121037058	2.75	0.71	0.5946419032826321	5.36	-0.4229822135510389	4034
CP003496.1_prot_D7S_00637_580	dATP pyrophosphohydrolase	0.0	0.125	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.19066013808651544	5.44	0.05	0.01984912772526661	7.07	0.174805466633834	19314
CP003496.1_prot_D7S_00638_581	aspartyl-tRNA synthetase	0.0	0.241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.39294138368324644	2.19	0.3	0.14536927244142214	3.85	-0.3977793457465952	2120
CP003496.1_prot_D7S_00640_583	ISPsy8, transposase OrfA	0.0	0.097	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.27380724249682964	3.87	0.6	0.5436330574129147	5.77	0.23768482563976287	21816
CP003496.1_prot_D7S_00642_584	integrase, catalytic region	0.0	0.236	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0416669015076793	3.65	1.5	0.9740247760119713	5.21	-0.05041975261871838	6998
CP003496.1_prot_D7S_00643_585	aspartyl-tRNA synthetase	0.0	0.142	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3863914329998591	7.27	2.0	1.5495007860890646	7.91	0.30569014831511754	27813
CP003496.1_prot_D7S_00644_586	ribonuclease T	0.0	0.137	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.37397069184162324	4.12	0.08	0.04006459189665297	6.9	0.34337326918341443	26991
CP003496.1_prot_D7S_00645_587	methyltransferase, putative	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.025681978300690432	4.08	0.1	0.04613660902013526	6.49	0.0032871782243857994	11602
CP003496.1_prot_D7S_00647_589	glycerol-3-phosphate transporter	0.0	0.135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	-0.3952832182612372	2.9	0.51	0.234592180781543	4.38	-0.40195641467618815	2874
CP003496.1_prot_D7S_00649_590	outer membrane protein 64	1.0	0.752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	-0.027208679723826963	6.72	1.0	0.5021281230466161	6.96	-0.07781969200462183	17756
CP003496.1_prot_D7S_00650_591	lactoylglutathione lyase	0.0	0.225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.22382837818796675	3.59	0.14	0.06495491826567917	6.01	0.19310751425378364	18756
CP003496.1_prot_D7S_00651_592	ribonuclease T	0.0	0.192	1.0	-5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	-0.09766943779061575	3.32	2.0	1.4530753130149832	5.12	-0.10935985831454927	5118
CP003496.1_prot_D7S_00652_593	hypothetical protein	0.0	0.149	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.006232210793292941	2.525	0.1	0.049353323357263286	3.55	-0.02347962798098233	6259
CP003496.1_prot_D7S_00653_594	Na+/H+ antiporter NhaC	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.2246188530364943	3.19	0.26	0.11667787396056295	5.21	-0.24129808876176767	5812
CP003496.1_prot_D7S_00654_595	primosomal replication protein N	0.0	0.127	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.10428772720867972	4.22	0.64	0.5650509537249258	6.28	0.08877029151592067	15117
CP003496.1_prot_D7S_00655_596	lipoyl synthase	0.0	0.111	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.03643863604339862	4.27	2.0	1.5082973121436556	5.38	0.000438694523895216	14467
CP003496.1_prot_D7S_00658_599	hypothetical protein	0.0	0.105	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	-0.28654642806819786	2.85	0.29	0.12965014301138408	4.64	-0.28856249881613094	2087
CP003496.1_prot_D7S_00659_600	heptaprenyl diphosphate synthase component II	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.18958785402282657	4.71	0.12	0.05258007690413502	6.42	0.1588038186880836	20999
CP003496.1_prot_D7S_00660_601	50S ribosomal protein L21	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.21726222347470764	3.7350000000000003	0.26	0.11000852385732958	5.54	0.18708152595988103	18694
CP003496.1_prot_D7S_00661_602	50S ribosomal protein L27	0.0	0.122	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.27115048612089615	3.57	0.78	0.6334220445892448	5.18	0.23301479362794306	21649
CP003496.1_prot_D7S_00662_603	GTPase ObgE	0.0	0.225	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.3793173171762717	4.11	0.07	0.03262705282897354	6.36	0.3390369935408104	27849
CP003496.1_prot_D7S_00663_604	50S ribosomal protein L27	0.0	0.244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.3105065520642525	4.17	0.08	0.037547212698653236	5.83	0.2715577822817419	24020
CP003496.1_prot_D7S_00664_605	GTPase ObgE	0.0	0.098	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	-0.1466887417218543	4.45	0.82	0.6311100903528877	8.49	-0.1360282613225238	12200
CP003496.1_prot_D7S_00666_606	SsrA-binding protein	0.0	0.153	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	-0.048227420036635195	3.94	0.56	0.26013335101244484	6.0	-0.052591536756767	7635
CP003496.1_prot_D7S_00668_608	oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	0.0	0.818	0.0	-4.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.06742849091165282	6.07	0.45	0.24567575246718318	6.07	0.011692648646600875	18636
CP003496.1_prot_D7S_00671_609	oligopeptide transport system permease protein OppB	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.225721431590813	3.5	0.11	0.04929412990358571	5.47	0.18954965620442105	19835
CP003496.1_prot_D7S_00672_610	oligopeptide transport system permease protein OppC	0.0	0.098	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.3650274763984782	4.48	0.11	0.05218760062887126	6.27	0.3218831095031539	27565
CP003496.1_prot_D7S_00673_611	oligopeptide transport ATP-binding protein OppD	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.14561716218120332	3.9	0.06	0.02571107912033793	5.25	0.1143018013751823	16493
CP003496.1_prot_D7S_00674_612	oligopeptide transport ATP-binding protein OppF	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.00600253628293645	3.28	0.21	0.09749057640217454	5.23	-0.016584206239463568	13151
CP003496.1_prot_D7S_00675_613	TorCAD operon transcriptional regulatory protein TorR	0.0	0.107	1.0	3.34	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	-0.0941130054952797	3.68	2.0	1.4506031102608299	6.26	-0.10131182164302086	8143
CP003496.1_prot_D7S_00677_615	50S ribosomal protein L31 type B	0.0	0.136	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	0.39482105114837257	4.07	0.13	0.06584168355653212	5.56	0.3471751936809804	27688
CP003496.1_prot_D7S_00678_616	decarboxylase	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09986473157672256	3.39	0.08	0.03791923171632604	5.64	0.0813331312863448	13258
CP003496.1_prot_D7S_00679_617	thiol:disulfide interchange protein DsbD	0.0	0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.47768775538960123	8.38	0.45	0.2469155001610062	8.38	0.3898771617449283	32538
CP003496.1_prot_D7S_00680_618	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	0.0	0.236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.384985205016204	4.81	0.07	0.03278749076582123	6.52	0.35484174038224764	27256
CP003496.1_prot_D7S_00683_620	hypothetical protein	0.0	0.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.3930738340143723	4.245	0.09	0.04172219801867672	5.94	0.3547209857367454	27577
CP003496.1_prot_D7S_00684_621	ribosomal large subunit pseudouridine synthase C	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.09965689728054107	4.33	0.49	0.23095258841134242	5.1	0.06404779042676112	15808
CP003496.1_prot_D7S_00685_622	thioredoxin	1.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.5182908271100466	4.41	0.11	0.050085712120925135	6.31	0.4679013316159339	33535
CP003496.1_prot_D7S_00686_623	cysteinyl-tRNA synthetase	0.0	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.10999295476962097	4.11	0.16	0.06642092701683937	5.9	0.08200111757240543	17052
CP003496.1_prot_D7S_00687_624	cystathionine beta-lyase	0.0	0.317	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	-0.24242849091165283	3.13	0.32	0.14669757354194685	5.24	-0.25125101812740325	5915
CP003496.1_prot_D7S_00690_625	conserved putative exported protein	0.0	0.132	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.1743743835423418	3.0949999999999998	0.07	0.027662095353550666	5.51	0.1487064572954748	16036
CP003496.1_prot_D7S_00692_627	integrase catalytic region	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.17800338171058194	3.2300000000000004	0.06	0.024522853408595835	5.25	0.14877843653514672	15897
CP003496.1_prot_D7S_00694_628	hypothetical protein	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.40499929547696206	3.26	0.62	0.26662370011175723	5.6	-0.3972622317352679	4258
CP003496.1_prot_D7S_00696_630	FHA domain protein	0.0	0.158	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	-0.4287966746512611	3.58	0.21	0.09229036046445553	5.58	-0.4374561021347528	3629
CP003496.1_prot_D7S_00698_632	integrase catalytic region	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.16161335775679866	3.19	0.06	0.025094330687780587	5.45	0.13644810865076812	15451
CP003496.1_prot_D7S_00700_634	hypothetical protein	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.037504579399746364	2.675	0.07	0.03734784914666718	3.73	0.004469910783626604	8054
CP003496.1_prot_D7S_00701_635	inositol-1-monophosphatase	0.0	0.133	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.007234042553191493	5.81	0.26	0.11590949557706517	7.4	0.007048282916295721	13782
CP003496.1_prot_D7S_00702_636	RNA methyltransferase, TrmH family, group 1	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.24271664083415526	4.2	0.13	0.05879690489269413	6.36	-0.23293277517852748	6610
CP003496.1_prot_D7S_00703_637	iron-sulfur cluster assembly transcription factor IscR	0.0	0.274	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.4987649711145554	5.0	0.17	0.0790921144848749	7.56	0.4647205121891159	33168
CP003496.1_prot_D7S_00704_638	cysteine desulfurase IscS	0.0	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.072718754403269	3.81	0.23	0.1070134298107704	6.72	-0.0794383725115072	11933
CP003496.1_prot_D7S_00705_639	FeS cluster assembly scaffold IscU	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0750380442440468	3.52	0.09	0.04001193340026141	4.72	0.05407819218456992	11257
CP003496.1_prot_D7S_00706_640	iron-sulfur cluster assembly protein IscA	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6339122164294773	4.9350000000000005	0.25	0.12290303638739988	6.92	0.5784833216524918	38550
CP003496.1_prot_D7S_00707_641	Fe-S protein assembly co-chaperone HscB	0.0	0.161	0.0	-3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.41174087642665913	4.24	0.06	0.027524103574337513	7.28	0.37530998427821866	29054
CP003496.1_prot_D7S_00708_642	Fe-S protein assembly chaperone HscA	0.0	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.22958574045371283	7.88	0.79	0.3886972704714639	8.84	0.16606747106623987	23611
CP003496.1_prot_D7S_00709_643	2Fe-2S type ferredoxin	0.0	0.1	0.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.061566859236297025	2.6	0.03	0.014637357225389735	3.59	0.03325355634269695	8495
CP003496.1_prot_D7S_00710_644	FeS assembly protein IscX	0.0	0.097	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.3027582076933916	3.635	1.5	0.9101991741329343	6.53	0.2746211618964636	24011
CP003496.1_prot_D7S_00711_645	methionyl-tRNA synthetase	0.0	0.291	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.2016880371988164	9.35	2.0	1.5272001969958138	11.2	-0.2741807626011024	20866
CP003496.1_prot_D7S_00712_646	Mrp ATPase family protein	0.0	0.117	0.0	-2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.2895505143018176	3.91	0.31	0.13692345576118048	7.41	0.2667149053851837	25750
CP003496.1_prot_D7S_00715_648	hypothetical protein	0.0	0.106	0.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.25900732703959417	3.7	0.42	0.20063938400924364	4.82	0.21233260091299988	20774
CP003496.1_prot_D7S_00718_649	Sel1 domain protein repeat-containing protein	0.0	0.347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.1434155276877554	3.27	0.18	0.07833131286344783	4.88	-0.15295058056939365	5166
CP003496.1_prot_D7S_00719_650	Sel1 domain protein repeat-containing protein	0.0	0.091	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.17381076511201915	3.28	0.57	0.5303926656943155	5.06	0.14051370446839542	15498
CP003496.1_prot_D7S_00720_651	hypothetical protein	0.0	0.553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.4368853036494293	5.25	0.15	0.06974920917545888	7.38	0.4078597541340709	30115
CP003496.1_prot_D7S_00721_652	tRNA-specific adenosine deaminase	0.0	0.127	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.2945166971959984	3.68	0.13	0.0623399882560188	6.16	0.2644700054931525	22754
CP003496.1_prot_D7S_00722_653	thymidylate synthase	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.07016556291390728	4.01	0.16	0.07072036065387459	5.63	0.05491106775519481	13867
CP003496.1_prot_D7S_00723_654	prolipoprotein diacylglyceryl transferase	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.2157615894039735	5.24	0.18	0.07897950485859868	6.29	-0.20488161309264485	6162
CP003496.1_prot_D7S_00724_655	thymidylate synthase	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.11579963364802028	5.9	0.18	0.07779288920879664	7.31	-0.10633171064345652	9588
CP003496.1_prot_D7S_00725_656	dinucleoside polyphosphate hydrolase	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	-0.047469353247851204	3.47	0.3	0.14012397476938232	4.7	-0.05640482639743905	7850
CP003496.1_prot_D7S_00726_657	D-ribose pyranase	0.0	0.289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.35038819219388473	4.71	0.06	0.026869566040952406	6.79	0.3215947189968367	25814
CP003496.1_prot_D7S_00727_658	D-ribose transporter ATP binding protein	0.0	0.241	0.0	-2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.05307101592222065	4.35	0.42	0.20476871933779098	6.01	-0.09297870929858125	13671
CP003496.1_prot_D7S_00728_659	ribose ABC transporter permease protein	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.13990911652811047	4.54	0.19	0.0862979940522418	6.98	0.11816254048832231	19243
CP003496.1_prot_D7S_00729_660	D-ribose transporter subunit RbsB	1.0	0.937	0.5	-3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.06419191207552487	3.28	1.5	0.9520605004451349	5.44	0.040356107817324266	13304
CP003496.1_prot_D7S_00730_661	ribokinase	0.0	0.201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.16541144145413555	3.7	0.27	0.1293161025135908	4.78	0.12499782168090465	16653
CP003496.1_prot_D7S_00731_662	cold-shock DNA-binding domain protein	0.0	0.239	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.04174792165703818	2.475	1.5	0.8915654537533386	4.62	0.023206675127384314	8819
